src_port,dst_port,length,is_length_outlier,hour,day_of_week,is_weekend,protocol_TCP,protocol_UDP,src_port_cat_dynamic,src_port_cat_registered,src_port_cat_well_known,dst_port_cat_dynamic,dst_port_cat_registered,dst_port_cat_well_known,has_dns,has_http,has_user_agent,is_malware_port,length_normalized,src_ip_freq_norm,dst_ip_freq_norm,suspicious
49271.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49271.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49271.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49271.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49271.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49271.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49271.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49271.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49271.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49271.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49272.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49272.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49272.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49272.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49272.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49272.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49272.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49272.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49272.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49272.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49273.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49273.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49273.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49273.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49273.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49273.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49273.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49273.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49273.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49273.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49274.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49274.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49274.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49274.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49274.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49274.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49274.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49274.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49274.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49274.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49275.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49275.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49275.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49275.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49275.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49275.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49275.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49275.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49275.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49275.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49276.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49276.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49276.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49276.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49276.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49276.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
49276.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49276.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49276.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49276.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49277.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49277.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49277.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49277.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49277.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49277.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49277.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49277.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49277.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49277.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49278.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49278.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49278.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49278.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49278.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49278.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49278.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49278.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49278.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49278.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49279.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49279.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49279.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49279.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49279.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49279.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49279.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49279.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49279.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49279.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49280.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49280.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49280.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49280.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49280.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49280.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49280.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49280.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49280.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49280.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49281.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49281.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49281.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49281.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49281.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49281.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
80.0,49281.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49281.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49281.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49281.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49282.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49282.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49282.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49282.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49282.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
80.0,49282.0,465,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,0.0765758091590541,-1.1795325873018916,1.034107688610725,0
49282.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49282.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49282.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
80.0,49282.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49283.0,80.0,66,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.4000473332237509,0.9406186282849746,-1.1551987871079112,0
80.0,49283.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
49283.0,80.0,54,False,10,2,0,True,False,True,False,False,False,False,True,0,0,0,0,-0.41438186382173,0.9406186282849746,-1.1551987871079112,0
49283.0,80.0,95,False,10,2,0,True,False,True,False,False,False,False,True,0,1,0,0,-0.3654055509453014,0.9406186282849746,-1.1551987871079112,1
80.0,49283.0,60,False,10,2,0,True,False,False,False,True,True,False,False,0,0,0,0,-0.40721459852274045,-1.1795325873018916,1.034107688610725,0
